# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D     -uv/(UBULK**2)
   .3235E-01    -.4328E-02
   .4435E-01    -.6515E-02
   .5636E-01    -.8893E-02
   .6836E-01    -.9004E-02
   .8036E-01    -.1026E-01
   .9236E-01    -.1063E-01
   .1044E+00    -.1095E-01
   .1164E+00    -.1038E-01
   .1284E+00    -.1014E-01
   .1404E+00    -.9783E-02
   .1524E+00    -.9344E-02
   .1644E+00    -.7855E-02
   .1764E+00    -.7741E-02
   .1884E+00    -.6466E-02
   .2004E+00    -.6088E-02
   .2124E+00    -.5468E-02
   .2244E+00    -.4254E-02
   .2364E+00    -.4549E-02
   .2484E+00    -.3820E-02
   .2604E+00    -.3099E-02
   .2724E+00    -.2377E-02
