# Impinging Jet: H/D=6, Re=23000
# Single wire data at R/D=0.5
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .2768E-02   .1941E-01
   .7764E-02   .2206E-01
   .1276E-01   .2081E-01
   .1776E-01   .1982E-01
   .2276E-01   .1835E-01
   .2776E-01   .1733E-01
   .3775E-01   .1669E-01
   .4775E-01   .1482E-01
   .5774E-01   .1432E-01
   .6774E-01   .1333E-01
   .8773E-01   .1265E-01
   .1077E+00   .1228E-01
   .1277E+00   .1245E-01
   .1577E+00   .1351E-01
   .1877E+00   .1391E-01
   .2177E+00   .1591E-01
   .2477E+00   .1714E-01
   .3476E+00   .2306E-01
   .4476E+00   .2627E-01
   .5475E+00   .2573E-01
   .6475E+00   .2539E-01
   .7475E+00   .2433E-01
   .9474E+00   .2333E-01
   .1147E+01   .2302E-01
   .1347E+01   .2299E-01
   .1547E+01   .2222E-01
   .1747E+01   .2218E-01
   .1947E+01   .2325E-01
   .2147E+01   .2235E-01
   .2347E+01   .2292E-01
   .2547E+01   .2224E-01
   .2747E+01   .2360E-01
   .2947E+01   .2198E-01
   .3147E+01   .2228E-01
   .3346E+01   .2259E-01
