# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=1.0
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .1938E-01
   .1400E-02   .2417E-01
   .2112E-02   .2615E-01
   .2823E-02   .2747E-01
   .3533E-02   .2911E-01
   .4245E-02   .2924E-01
   .5668E-02   .3009E-01
   .7090E-02   .2864E-01
   .8512E-02   .2959E-01
   .9934E-02   .2828E-01
   .1278E-01   .2748E-01
   .1562E-01   .2646E-01
   .1847E-01   .2503E-01
   .2131E-01   .2428E-01
   .2554E-01   .2395E-01
   .2976E-01   .2410E-01
   .3398E-01   .2341E-01
   .4821E-01   .2248E-01
   .6243E-01   .2123E-01
   .7665E-01   .2024E-01
   .9088E-01   .1857E-01
   .1051E+00   .1780E-01
   .1336E+00   .1616E-01
   .1620E+00   .1453E-01
   .1904E+00   .1332E-01
   .2189E+00   .1207E-01
   .2473E+00   .1160E-01
   .2758E+00   .1045E-01
   .3042E+00   .1053E-01
   .3327E+00   .9779E-02
   .3611E+00   .9670E-02
   .3896E+00   .9501E-02
   .4180E+00   .9122E-02
   .4465E+00   .8091E-02
   .4749E+00   .9097E-02
