# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
   .6892E-03   .3801E+00
   .1400E-02   .4693E+00
   .2112E-02   .5565E+00
   .2823E-02   .6153E+00
   .3533E-02   .6613E+00
   .4245E-02   .6911E+00
   .5668E-02   .7410E+00
   .7090E-02   .7749E+00
   .8512E-02   .8012E+00
   .9934E-02   .8206E+00
   .1278E-01   .8366E+00
   .1562E-01   .8425E+00
   .1847E-01   .8479E+00
   .2131E-01   .8446E+00
   .2554E-01   .8341E+00
   .2976E-01   .8192E+00
   .3398E-01   .8045E+00
   .4821E-01   .7534E+00
   .6243E-01   .6928E+00
   .7665E-01   .6293E+00
   .9088E-01   .5771E+00
   .1051E+00   .5241E+00
   .1336E+00   .4395E+00
   .1620E+00   .3551E+00
   .1904E+00   .2945E+00
   .2189E+00   .2359E+00
   .2473E+00   .1971E+00
   .2758E+00   .1549E+00
   .3042E+00   .1201E+00
   .3327E+00   .1019E+00
   .3611E+00   .7485E-01
   .3896E+00   .5643E-01
   .4180E+00   .4503E-01
   .4465E+00   .3380E-01
   .4749E+00   .2507E-01
