# Impinging Jet: H/D=2, Re=23000
# Cross wire data at R/D=2.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
 0.3248E-01    0.6683E-02
 0.4453E-01    0.8234E-02
 0.5658E-01    0.9756E-02
 0.6863E-01    0.1032E-01
 0.8068E-01    0.1079E-01
 0.9272E-01    0.1110E-01
 0.1048E+00    0.1099E-01
 0.1168E+00    0.1013E-01
 0.1289E+00    0.9499E-02
 0.1409E+00    0.8764E-02
 0.1530E+00    0.7697E-02
 0.1650E+00    0.7426E-02
 0.1771E+00    0.6300E-02
 0.1891E+00    0.5477E-02
 0.2012E+00    0.4616E-02
 0.2132E+00    0.3926E-02
 0.2253E+00    0.3085E-02
 0.2373E+00    0.2922E-02
 0.2494E+00    0.2298E-02
 0.2614E+00    0.1826E-02
 0.2735E+00    0.1578E-02
