# Impinging Jet: H/D=2, Re=70000
# Single wire data at R/D=2.0
# Expt. of Cooper et al. (1992)
#    y/D          U/UBULK
 0.9872E-03    0.3943E+00
 0.1701E-02    0.5023E+00
 0.2415E-02    0.5787E+00
 0.3129E-02    0.6438E+00
 0.3843E-02    0.6905E+00
 0.4557E-02    0.7117E+00
 0.5985E-02    0.7420E+00
 0.7413E-02    0.7718E+00
 0.8841E-02    0.7927E+00
 0.1027E-01    0.8116E+00
 0.1313E-01    0.8373E+00
 0.1598E-01    0.8433E+00
 0.1884E-01    0.8458E+00
 0.2169E-01    0.8456E+00
 0.2593E-01    0.8364E+00
 0.3017E-01    0.8306E+00
 0.3441E-01    0.8202E+00
 0.4869E-01    0.7525E+00
 0.6297E-01    0.6830E+00
 0.7725E-01    0.6115E+00
 0.9153E-01    0.5389E+00
 0.1058E+00    0.4677E+00
 0.1201E+00    0.4081E+00
 0.1344E+00    0.3436E+00
 0.1487E+00    0.2802E+00
 0.1629E+00    0.2362E+00
 0.1772E+00    0.1948E+00
 0.1915E+00    0.1561E+00
 0.2058E+00    0.1305E+00
 0.2343E+00    0.8995E-01
 0.2629E+00    0.6507E-01
 0.2915E+00    0.5349E-01
 0.3200E+00    0.4362E-01
 0.3486E+00    0.3680E-01
 0.3771E+00    0.3329E-01
