# Impinging Jet: H/D=6, Re=70000
# Cross wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D      vv/(UBULK**2)
   .3235E-01     .6004E-02
   .3658E-01     .6919E-02
   .4080E-01     .7358E-02
   .4502E-01     .7479E-02
   .5702E-01     .8724E-02
   .6902E-01     .9517E-02
   .8103E-01     .9588E-02
   .9303E-01     .1023E-01
   .1050E+00     .9605E-02
   .1170E+00     .8993E-02
   .1290E+00     .9040E-02
   .1410E+00     .8197E-02
   .1530E+00     .7931E-02
   .1650E+00     .7351E-02
   .1770E+00     .7011E-02
   .1890E+00     .6124E-02
   .2010E+00     .5662E-02
   .2130E+00     .5235E-02
   .2250E+00     .4801E-02
   .2370E+00     .4344E-02
   .2490E+00     .3961E-02
