# Impinging Jet: H/D=6, Re=70000
# Single wire data at R/D=1.5
# Expt. of Cooper et al. (1992)
#    y/D        uu/(UBULK**2)
   .6892E-03   .1849E-01
   .1400E-02   .2297E-01
   .2112E-02   .2550E-01
   .2823E-02   .2615E-01
   .3533E-02   .2750E-01
   .4245E-02   .2765E-01
   .5668E-02   .2632E-01
   .7090E-02   .2534E-01
   .8512E-02   .2531E-01
   .9934E-02   .2448E-01
   .1278E-01   .2196E-01
   .1562E-01   .2309E-01
   .1847E-01   .2271E-01
   .2131E-01   .2230E-01
   .2554E-01   .2198E-01
   .2976E-01   .2234E-01
   .3398E-01   .2268E-01
   .4821E-01   .2379E-01
   .6243E-01   .2384E-01
   .7665E-01   .2462E-01
   .9088E-01   .2417E-01
   .1051E+00   .2402E-01
   .1336E+00   .2211E-01
   .1620E+00   .1869E-01
   .1904E+00   .1559E-01
   .2189E+00   .1239E-01
   .2473E+00   .1069E-01
   .2758E+00   .8036E-02
   .3042E+00   .6123E-02
   .3327E+00   .5109E-02
   .3611E+00   .3589E-02
   .3896E+00   .2456E-02
   .4180E+00   .1731E-02
   .4465E+00   .1218E-02
   .4749E+00   .6976E-03
